1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5d: Color For ,5e: Color Pattern For,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Herbaceous,Aquatic,Salt Water,Uncommon,Small Patch (1-12),Small (5-25cm),Creeper Vine,Radial,Fibrous,Smooth,Copper,N/A,Smooth,Orange,N/A,Waxy,Brown,N/A,Broad & Broad,Branch Points,Reniform (Kidney),Denticulate,VelvetyDusty,None,Clusters (6+),Smooth,White,N/A,Seeds,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Predaceous,Touch,Non-Sentient,N/A,Medicinal / Other & Medicinal / Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Ground,N/A,Medicinal / Other,Whole,Vasodialator,
Herbaceous,Terrestrial,Hills / Scrub & Desert / Waste,Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,None,Tap,Smooth,Copper & Red,Mottled,Waxy,Copper,N/A,Smooth,Grey,N/A,Broad,Branch Points,Reniform (Kidney),Sinuate,Smooth,Dichotomous (Veins Branching in Symmetric Pairs),Singles (1),Smooth,Yellow,N/A,Budding / Fragmentation,Fruit,Animal,Other,Complex,Tiny (<5mm),Curly,Hairy,Regular Interval,Sweet,Annual (Once),Smooth,Black,Blushed & Luminescent,0,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Powder,Nephretic,Edible,Boiled,N/A,Medicinal / Other,Crushed,Disinfectant,N/A,N/A,N/A,Medicinal / Other,Grated,Detergent,Edible,Boiled,N/A,
Algae,Terrestrial,Plains / Savannah,Uncommon,Small Patch (1-12),Small (5-25cm),Multiple Stems / Trunks,Ordered,None,Other,Green,N/A,Scaly,Brown,N/A,Smooth,Yellow,N/A,None,Terminal,Acicular (Needle),Smooth,Sticky,Pinnate (Secondary Veins Paired Oppositely),Singles (1),Smooth,Orange,N/A,Budding / Fragmentation,Spore,Other,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Mobile,Non-Sentient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Raw,N/A,
Woody,Terrestrial,Marsh / Swamp / Bog,Very Common,Solitary (1-2),Average (25cm-1m),Creeper Vine,Random,Fibrous,Waxy,Grey,N/A,Flaky,Grey,N/A,Scaly,Gold,N/A,Broad,Random Interval,Spear-Shaped (Pointed Barbbed-Base),Denticulate,Scaly,Dichotomous (Veins Branching in Symmetric Pairs),Whorls (3-5),Scaly,Brown,N/A,Seeds,Grain,Gravity,Other,Bell,Small (5-10mm),Blade,Dusty & Smooth,Terminal,Sweet,Annual (Once),Rough,Green,Solid & Patches,10+,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Juice,Insecticide,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Poultice,Antilithic,Non-Edible,N/A,N/A,Nutritious / Tasty,Steeped,N/A,
Herbaceous,Aquatic,Fresh Water,Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Radial,Rhizoid,Smooth & Smooth,Copper,N/A,Smooth,Brown,N/A,Scaly,White,N/A,Broad,Terminal,Acuminate (Taper to Long Point),Serrulate,Smooth,Arcute (Secondary Veins Bending Towards Apex),Singles (1),Smooth,Green,N/A,Suckers,Fruit,Animal,Pairs,Cone,Avg. (1-5cm),Toothed,Waxy,Regular Interval,Foul,Annual (Once),Smooth,Green & Silver,Blushed,10+,0,Photo / Chemo-Synthetic,Motile,Non-Sentient,N/A,Medicinal / Other,Wash,Appetizer,Edible,Roasted,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,Edible,Dried,N/A,Edible,Dried,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Medium Patch (12-120),Small (5-25cm),Multiple Stems / Trunks,Radial,Fibrous,Smooth,Red,N/A,Smooth,Grey,N/A,Smooth,Gold,N/A,Blades,Stem / Trunk,Subulate (Awl),Undulate,Error: Roll Out of Range,Reticulate (Smaller Veins Forming a Network),Clusters (6+),Smooth,Yellow,N/A,Seeds,Grain,Other,Compound,Spike,Avg. (1-5cm),Wavy,Dusty,Stem / Trunk,Musky,Annual (Once),Other,Violet,Night Closing,1-3,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Steeped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Boiled,N/A,Medicinal / Other,Ground,Re-Roll,
Herbaceous,Aquatic,Salt Water,Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Radial,Fibrous,Smooth,Yellow,N/A,Flaky,Copper,N/A,Scaly,Gold,N/A,Compound,Branch Points,Cordate (Heart Stem in Cleft),Crenate,Smooth,Reticulate (Smaller Veins Forming a Network),Pairs (2),Smooth,Blue,N/A,Budding / Fragmentation,Grain,Water,Other,Disc,Large (5-10cm),Oval & Round,Waxy,Random Interval,Sweet,Annual (Once),Smooth,Orange,Phases,10+,1,Symbiotic,Gravity,Non-Sentient,N/A,Edible,Raw,N/A,Nutritious / Tasty,Blanched,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Edible,Boiled,N/A,
Herbaceous,Terrestrial,Marsh / Swamp / Bog,Very Common,Solitary (1-2),Average (25cm-1m),Multiple Stems / Trunks,Random,Tap,Smooth,Yellow,N/A,Other,Gold,N/A,Smooth,Red,N/A,Compound,Terminal,Lanceolate (Pointed at Both Ends),Smooth,Sticky,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Other,Green & Black,Stripes,Seeds,Fruit,Animal,Pairs,Bell,Tiny (<5mm),Blade,Smooth,Regular Interval,Musky,Other,Smooth,Green,Blushed,0,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Blanched,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ointment,Appetizer,Medicinal / Other,Juice,Adjuvant,
Herbaceous,Terrestrial,Hills / Scrub,Uncommon,Medium Patch (12-120),Large (1-10m),Multiple Stems / Trunks,Radial,Bulb,Scaly,White,N/A,Smooth,Green,N/A,Smooth,Gold,N/A,Broad,Random Interval,Poly-Foliate (2-7 Leaflets),Undulate,Smooth,Reticulate (Smaller Veins Forming a Network),Pairs (2),Smooth,Silver,N/A,Seeds,Grain,Water,Spray,Complex,Avg. (1-5cm),Curly,Waxy,Regular Interval,Other / Specific,Other,Waxy,Yellow,Luminescent,10+,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Crushed,Disinfectant,Medicinal / Other,Essence,Stimulant,N/A,N/A,N/A,Medicinal / Other,Infusion,Laxative,Medicinal / Other,Bath,Emetic,Nutritious / Tasty,Raw,N/A,
Fungus,Sub-Terrestrial,Forest / Jungle,Very Rare,Medium Patch (12-120),Small (5-25cm),Multiple Stems / Trunks,None,Rhizoid,Smooth,Gold,N/A,Smooth,Copper,N/A,Smooth,Yellow,N/A,Broad,Terminal,Subulate (Awl),Smooth,VelvetyDusty,Arcute (Secondary Veins Bending Towards Apex),Clusters (6+),Smooth,Gold,N/A,Seeds,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Decay,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Boiled,N/A,
Woody,Terrestrial,Marsh / Swamp / Bog,Rare,Solitary (1-2),Large (1-10m),Multiple Stems / Trunks,Ordered,Fibrous,Smooth,Black,N/A,Waxy,Brown,N/A,Rough,Green,N/A,Broad,Terminal,Obtuse (Bluntly Tipped),Serrulate,Smooth,Dichotomous (Veins Branching in Symmetric Pairs),Pairs (2),Smooth,White,N/A,Seeds,Fruit,Wind,Single,Complex,Small (5-10mm),Round,Hairy,Random Interval,Sweet,Perennial (Yearly),Scaly,White,Luminescent,10+,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Edible,Blanched,N/A,Medicinal / Other,Vapor / Smoke,Vermicide,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Uncommon,Small Patch (1-12),Small (5-25cm),Stem / Trunk,None,Tap,Waxy,Copper,N/A,Smooth,Grey,N/A,Rough,Brown,N/A,Broad,Regular Interval & Random Interval,Cordate (Heart Stem in Cleft),Smooth,Smooth,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Smooth,Green,N/A,Seeds,Fruit,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Decay,None,Non-Sentient,N/A,Medicinal / Other,Juice,Emollient,N/A,N/A,N/A,Medicinal / Other,Powder,Vesicant,N/A,N/A,N/A,Edible,Blanched,N/A,Medicinal / Other,Syrup,Diaphoretic,
Herbaceous,Terrestrial,Plains / Savannah,Uncommon,Solitary (1-2),Huge (>10m),Stem / Trunk,Random,Tap,Flaky,Red,N/A,Smooth,Green,N/A,Waxy,Green,N/A,Compound,Terminal,Truncate (Squared off Apex),Sinuate,VelvetyDusty,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Waxy,White,N/A,Seeds,Fruit,Animal,Single,Funnel,Large (5-10cm),Curly,Smooth,Regular Interval,Sweet,Annual (Once),Smooth,Black,Blushed,1-3,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Tincture,Narcotic,Non-Edible,N/A,N/A,Medicinal / Other,Other,Oil,Edible,Boiled,N/A,Medicinal / Other,Bath,Hypnotic,Edible,Roasted,N/A,
Herbaceous,Aquatic,Fresh Water,Very Common,Solitary (1-2),Small (5-25cm),Stem / Trunk,Radial,Tap,Scaly,Copper,N/A,Rough,Black,N/A,Smooth,Green,N/A,Broad,Random Interval,Palmate (Hand-Like),Smooth,Waxy,None,Clusters (6+),Smooth,Brown,N/A,Suckers,Grain,Wind,Compound,Disc,Tiny (<5mm),Round,Velvety,Terminal,Foul,Perennial (Yearly),Other,Brown,Blushed,10+,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Ground,Hypnotic,Nutritious / Tasty,Boiled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Solitary (1-2),Huge (>10m),Creeper Vine,Ordered,Rhizoid,Waxy,Black,N/A,Smooth,Green,N/A,Smooth,Copper,N/A,Compound,Regular Interval,Linear (Parallel Margins & Elongate),Undulate,Scaly,Palmate (Several Primary Veins Diverging from a Point),Whorls (3-5),Waxy,Brown,N/A,Suckers,Fruit,Gravity,Bunches,Funnel,Huge (>10cm),Thread,Scaly,Terminal,None,Poly-Annual (2-7 Years),Rough,Grey,Solid,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Cold Extract,Disinfectant,Nutritious / Tasty,Roasted,N/A,Non-Edible,N/A,N/A,Edible,Dried,N/A,Medicinal / Other,Fomentation,Anaphrodisiac,Edible,Ground,N/A,
Woody,Terrestrial,Plains / Savannah,Common,Solitary (1-2),Average (25cm-1m),Creeper Vine,Ordered,Fibrous,Smooth,Violet,N/A,Smooth,Violet,N/A,Waxy,Brown,N/A,Broad,Terminal,Palmate (Hand-Like),Ciliate,Smooth & Waxy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Singles (1),Smooth,Yellow,N/A,Seeds,Fruit,Water,Other,Funnel,Large (5-10cm),Blade,Dusty,Random Interval,Foul,Poly-Annual (2-7 Years),Rough,Yellow,Solid,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Roasted,N/A,Medicinal / Other,Vapor / Smoke,Anthelmintic,Nutritious / Tasty,Blanched,N/A,Non-Edible & Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Dried,N/A,
Herbaceous,Aquatic,Fresh Water,Very Rare,Large Patch (120+),Large (1-10m),Multiple Stems / Trunks,Radial,Fibrous,Waxy,Violet,N/A,Waxy,Black,N/A,Smooth,Green,N/A,Broad,Regular Interval,Pedate (Palmate Divided Latteral Lobes),Sinuate,Scaly,Dichotomous (Veins Branching in Symmetric Pairs),Singles (1),Smooth,Red,N/A,Suckers,Grain,Gravity,Pairs,Cone,Large (5-10cm),Oval,Waxy,Stem / Trunk,None,Annual (Once),Rough,Yellow,Solid,10+,1,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Medicinal / Other,Crushed,Re-Roll,Medicinal / Other,Infusion,Detergent,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Rubbed,Expectorant,Non-Edible,N/A,N/A,
Woody,Terrestrial,Desert / Waste,Rare,Large Patch (120+),Small (5-25cm),Multiple Stems / Trunks,Radial,Tap,Rough,Red,N/A,Rough,Red,N/A,Scaly,Orange,N/A,Broad,Terminal,Falcate (Sickle),Lobate,Hairy,Pinnate (Secondary Veins Paired Oppositely),Pairs (2),Rough,Yellow,N/A,Seeds,Nut,Animal,Single,Disc,Small (5-10mm),Curly,Velvety,Terminal,Sweet,Perennial (Yearly),Smooth,Yellow,Solid,0,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Blanched,N/A,Medicinal / Other,Poultice,Counterirritant,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Raw,N/A,
Algae,Aquatic,Fresh Water,Very Rare,Small Patch (1-12),Average (25cm-1m),Colonial Mass,Radial,None,Flaky,Copper,N/A,Waxy,Green,N/A,Smooth,Brown,N/A,None,Regular Interval,Orbicular (Circular),Serate & Serrulate,Hairy,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Other,Green,N/A,Budding / Fragmentation,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Marsh / Swamp / Bog,Rare,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,Radial,Tap,Smooth,Green,N/A,Smooth,Violet,N/A,Scaly,Yellow,N/A,Broad,Terminal,Hastatae (Triangular Basal Lobes),Dentate,VelvetyDusty,Cross-Venulate (Small Veins Connecting Secondary Veins),Whorls (3-5),Smooth,Blue,N/A,Seeds,Grain,Wind,Bunches,Spike,Large (5-10cm),Oval & Blade,Scaly,Terminal,Other / Specific,Annual (Once),Waxy,Red,Solid,4-9,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Re-Roll,Laxative,Medicinal / Other,Decoction,Demulcent,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other & Edible,N/A,N/A,Medicinal / Other,Ointment,Appetizer,
Herbaceous,Aquatic,Brackish,Uncommon,Solitary (1-2),Small (5-25cm),Multiple Stems / Trunks,Radial,Fibrous,Smooth,Green,N/A,Smooth,Silver,N/A,Smooth,Yellow,N/A,Compound,Terminal,Flabellate (Fan Shaped),Undulate,Sticky,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+) & Pairs (2),Flaky,Green,N/A,Suckers,Other,Wind,Spray,Bell,Avg. (1-5cm),Round,Velvety,Terminal,Sweet,Annual (Once),Smooth,White & Green,Stripes,10+,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Boiled,N/A,Medicinal / Other,Poultice,Narcotic,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Wash,Laxative,Medicinal / Other,Powder,Carminative,
Woody,Terrestrial,Plains / Savannah,Common,Large Patch (120+),Average (25cm-1m),Multiple Stems / Trunks,Ordered,Fibrous,Smooth,Green,N/A,Rough,Black,N/A,Rough,Brown,N/A,Needles,Regular Interval,Hastatae (Triangular Basal Lobes),Sinuate,Smooth,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Flaky,Yellow,N/A,Budding / Fragmentation,Nut,Water,Bunches,Spike,Small (5-10mm),Toothed,Veined,Random Interval,None,Annual (Once),Smooth,Brown,Spotted,10+,1,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Infusion,Abortifacient,Non-Edible,N/A,N/A,Nutritious / Tasty,Steeped,N/A,
Woody,Terrestrial,Forest / Jungle,Uncommon,Large Patch (120+),Large (1-10m),Stem / Trunk,Radial,Fibrous,Rough,Gold,N/A,Flaky,Grey,N/A,Rough,White,N/A,Needles,Terminal,Spear-Shaped (Pointed Barbbed-Base),Spiny,Scaly,None,Clusters (6+),Rough,Green,N/A,Seeds,Other,Animal,Compound,Cone,Huge (>10cm),Wavy,Waxy,Branch Points,Sweet,Perennial (Yearly),Scaly,Brown,Blushed,1-3,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Cold Compress,Anticoagulant,Non-Edible,N/A,N/A,Medicinal / Other,Cold Extract,Mysical / Other,
Fungus,Sub-Terrestrial,Forest / Jungle,Very Common,Medium Patch (12-120),Large (1-10m),Colonial Mass,None,Rhizoid,Smooth,Black,N/A,Other,Black,N/A,Smooth,Brown,N/A,Scales,Terminal,Poly-Foliate (2-7 Leaflets),Crenate,Hairy,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Scaly,Violet,N/A,Seeds,Spore,Wind,Compound,Cone,Tiny (<5mm),Toothed,Smooth,Terminal & Random Interval,Sweet,Poly-Annual (2-7 Years),Smooth,White,Solid,10+,2-4,Symbiotic,Gravity,Non-Sentient,N/A,Edible,Steeped,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Decoction,Purgative,Non-Edible,N/A,N/A,Edible,Raw,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Uncommon,Small Patch (1-12),Small (5-25cm),Multiple Stems / Trunks,None,Rhizoid,Smooth,Orange,N/A,Smooth,Brown,N/A,Smooth,White,N/A,Blades,Stem / Trunk,Acuminate (Taper to Long Point),Sinuate,Scaly,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Smooth,Orange,N/A,Seeds,Grain,Gravity,Compound,Sphere,Large (5-10cm),Toothed,Scaly,Random Interval,Musky,Poly-Annual (2-7 Years),Waxy,Violet,Blushed,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Powder,Re-Roll,Edible,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Roasted,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Uncommon,Small Patch (1-12),Average (25cm-1m),Multiple Stems / Trunks,Radial,Tap,Waxy,Green,N/A,Smooth,Green,N/A,Other & Scaly,Violet,N/A,Compound,Terminal,Acuminate (Taper to Long Point),Sinuate,Smooth,Reticulate (Smaller Veins Forming a Network),Whorls (3-5),Smooth,Brown,N/A,Budding / Fragmentation,Grain,Wind,Spray,Disc,Small (5-10mm),Oval,Velvety,Branch Points,Sweet,Annual (Once),Smooth,Gold,Solid,10+,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Roasted,N/A,Medicinal / Other,Poultice,Vasodialator,
Herbaceous,Terrestrial,Forest / Jungle,Common,Medium Patch (12-120),Small (5-25cm),Creeper Vine,Radial,Fibrous,Smooth,Violet,N/A,Rough,Green,N/A,Smooth,Green & Brown,Phases & Solid,Broad,Terminal,Acuminate (Taper to Long Point),Ciliate,Waxy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Other & Waxy,Green,N/A,Suckers,Fruit,Animal,Single,Disc,Avg. (1-5cm),Curly & Oval,Hairy,Terminal,Other / Specific,Perennial (Yearly),Flaky,Green,Blushed,4-9,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Boiled,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Steeped,N/A,N/A,N/A,N/A,Medicinal / Other,Bath,Caustic,Medicinal / Other,Ground,Antiphlogistic,
Herbaceous,Terrestrial,Mountains,Common,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,None,Bulb,Smooth,Green,N/A,Smooth,Green,N/A,Smooth,Red,N/A,Blades,Terminal,Spear-Shaped (Pointed Barbbed-Base),Denticulate,Scaly,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Smooth,Orange & Black,Solid & Mottled,Seeds,Spore,Gravity,Pairs,Cone,Small (5-10mm),Wavy,Waxy,Random Interval,Musky,Poly-Annual (2-7 Years),Smooth,Green & Orange,Blushed,10+,5+,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Medicinal / Other,Grated,Antihydrotic,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Other,Abortifacient,Edible,Steeped,N/A,
Algae,Aquatic,Salt Water,Rare,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Random,None,Flaky,Green,N/A,Waxy,Green,N/A,Rough,Green,N/A,None,Terminal,Spear-Shaped (Pointed Barbbed-Base),Smooth,Scaly,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Smooth,Black,N/A,Budding / Fragmentation,Other,Gravity,Spray,Complex,Small (5-10mm),Blade & Oval,Smooth,Terminal,Foul,Other,Other,Red,Spotted,4-9,5+,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Cold Compress,Vermicide,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Salt Water,Uncommon,Medium Patch (12-120),Tiny (<5cm),Stem / Trunk,Random,Tap,Smooth,Silver,N/A,Smooth,Silver,N/A,Scaly,Silver,N/A,Compound,Branch Points,Flabellate (Fan Shaped),Smooth,Waxy,Reticulate (Smaller Veins Forming a Network),Pairs (2),Smooth,Black,N/A,Seeds,Grain,Gravity,Other,Spike,Small (5-10mm),Oval,Veined,Terminal,Musky,Poly-Annual (2-7 Years),Rough,Green,Night Blooming,10+,2-4,Decay,Gravity,Non-Sentient,N/A,Edible,Steeped,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Other,Sedative,Edible,Boiled,N/A,
Herbaceous,Terrestrial,Forest / Jungle & Marsh / Swamp / Bog,Uncommon,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,Random,Tap,Scaly,Green,N/A,Smooth,Green,N/A,Waxy,White,N/A,Compound,Random Interval,Reniform (Kidney),Dentate,Sticky,None,Pairs (2),Smooth,Brown & Red,Stripes,Budding / Fragmentation,Grain,Other,Pairs,Bell,Avg. (1-5cm),Blade,Hairy,Regular Interval,Foul,Annual (Once),Flaky,Orange,Night Closing,1-3,2-4,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Nutritious / Tasty,Raw,N/A,Edible,Steeped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Nutritious / Tasty,Ground,N/A,
Herbaceous,Aquatic,Fresh Water,Very Common,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Random,Tap,Flaky,White & Yellow,Blushed,Smooth,Orange,N/A,Scaly & Smooth,Red,N/A,Broad,Stem / Trunk,Spear-Shaped (Pointed Barbbed-Base),Undulate,Hairy,Arcute (Secondary Veins Bending Towards Apex),Whorls (3-5),Smooth,Green,N/A,Budding / Fragmentation,Fruit,Animal,Single,Disc,Large (5-10cm),Wavy,Hairy,Terminal,Other / Specific,Annual (Once),Flaky,Grey & Green,Solid,4-9,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Decoction,Emmenagogue,Non-Edible,N/A,N/A,Nutritious / Tasty,Raw,N/A,N/A,N/A,N/A,Medicinal / Other,Infusion,Specific,Non-Edible,N/A,N/A,
Fungus,Terrestrial,Hills / Scrub,Uncommon,Small Patch (1-12),Tiny (<5cm),Multiple Stems / Trunks,None,Rhizoid,Flaky,Violet,N/A,Smooth,Green,N/A,Rough,Yellow,N/A,Blades,Terminal,Aristate (Spine-Like Tip),Serrulate,VelvetyDusty,None,Whorls (3-5),Smooth,Yellow,N/A,Seeds,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,None,Sentient,Instinctual,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Boiled,N/A,Nutritious / Tasty,Boiled,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Rare,Solitary (1-2),Average (25cm-1m),Multiple Stems / Trunks,Radial,Fibrous,Waxy,White,N/A,Smooth,Yellow & White,Solid,Smooth,Blue,N/A,Blades,Branch Points,Spear-Shaped (Pointed Barbbed-Base),Smooth,Scaly & Waxy,Arcute (Secondary Veins Bending Towards Apex),Whorls (3-5),Waxy,Violet,N/A,Suckers,Grain,Gravity,Compound,Spike,Tiny (<5mm),Blade & Round,Veined,Terminal,None,Perennial (Yearly),Smooth,Orange,Phases,10+,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Dried,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ground,Glue,Medicinal / Other,Ground,Balsam,
